企画ID,企画名,きかくめい,企画団体名,きかくだんたいめい,テント配置,公開時間21日,公開時間22日,ジャンル,パンフ原稿,
1108,肉巻きおにぎり、<br>豚汁,にくまきおにぎり、とんじる,Roland Garros,Roland Garros,C5,9：00~19：00,9：00~19：00,食べる,特製ダレに絡めたミートロールおにぎりと母の味豚汁。噛めば噛むほど出てくる肉汁にもうあなたは噛むことをやめられない。,
1033,珠と私,たまとわたし,医学部硬式テニス部,いがくぶこうしきてにすぶ,C6,9：00~19：00,9：00~19：00,食べる,今回、医学部硬式テニス部ではクレープとタピオカドリンクを販売します。手作り、出来たてのクレープをぜひ食べに来てください!,
1102,『行列』のできる<br>『回転』焼き,ぎょうれつのできるかいてんやき,九大理学部数学科,きゅうだいりがくぶすうがくか,C7,9：00~19：00,9：00~19：00,食べる,「行列」と「回転」を掛けたっていいじゃない。味の種類数が完全数の6でもいいじゃない。だって、数学科だもの。,
1123,芋Q１０００％,いもQ1000％,perfection,perfection,C8,9：00~19：00,9：00~19：00,食べる,こんにちは!perfectionです。おいしい焼き芋に1000%の愛をこめて届けます。ぜひ来てください!,
1111,ドリンクショップ<br>錬心舘,どりんくしょっぷれんしんかん,錬心舘空手部,れんしんかんからてぶ,C9,9：00~19：00,9：00~19：00,食べる,私たち錬心舘空手部は、ソフトドリンクを販売します!バラエティ豊かなジュースを準備しておりますので、ぜひお越し下さい!,
1053,たこ焼きペダル,たこやきぺだる,サイクリング同好会,さいくりんぐどうこうかい,D1,9：00~19：00,9：00~19：00,食べる,足だけだと思うことなかれ。我々は美味しいたこ焼きをみなさんに提供します。自慢の愛車も展示しますのでぜひお越しください。,
1024,たこ焼き,たこやき,九州大学医学部ゴルフ部,きゅうしゅうだいがくいがくぶごるふぶ,D2,9：00~19：00,9：00~19：00,食べる,今年の九医ゴルフ部はたこ焼きを販売します。試行錯誤を重ねてようやくたどりついたこの味は皆さんの心をほっこりさせるはず!!,
1066,甘味処 もっふる,かんみどころ　もっふる,漫画研究部,まんがけんきゅうぶ,D3,未記入,未記入,食べる,モッフルとはお餅をワッフル型で焼いた日本生まれのお菓子です。また、おしるこも販売します。,
1017,お汁粉お汁粉お汁粉押し売り子,おしるこおしるこおしるこおしうりこ,歯学スキー部,しがくすきーぶ,D4,9：00~19：00,9：00~19：00,食べる,冬にあなたの心と体をホットにする食べ物を提供します♡,
1125,はしまき屋BALON,はしまきやBALON,FC.BALON,FC.BALON,D5,9：00~19：00,9：00~19：00,食べる,愉快で個性あるFC.BALONのつくる、絶品はしまき!!安くて美味しいですよ!ぜひぜひお越しください♪,
1039,ラーメン焼いてEat〜?,らーめんやいていーと,株式会社ばかやろう,かぶしきがいしゃばかやろう,D6,9：00~19：00,9：00~19：00,食べる,博多ラーメンを焼いてみました!屋台の味を忠実に再現し、驚きの安さも実現!お値段なんと300円!是非お越しください!,
1069,えふあい<br>フランクフルト,えふあいふらんくふると,FIWC九州,FIWCきゅうしゅう,D7,9：00~19：00,9：00~19：00,食べる,FIWC九州は美味しいフランクフルトを出します!海外キャンプなどの活動の写真も展示するので是非来てください(^^),
1099,BIG FOREHEADS,BIG FOREHEADS,スノボサークルBIG FOREHEADS,すのぼさーくるBIG FOREHEADS,D8,9：00~19：00,9：00~19：00,食べる,スノボサークルBIG FOREHEADSです!九大祭ではフレンチトーストとラスクを販売します!是非食べに来てください!,
1056,屋久鹿の集い,やくしかのつどい,九州大学決断科学<br>プログラム有志,きゅうしゅうだいがくけつだんかがくぷろぐらむゆうし,D9,9：00~19：00,9：00~19：00,食べる,屋久島の「ヤクニク屋」さんから仕入れたヤクシカを使ったラーメン、餃子、肉味噌おにぎりを数量限定で提供します。集え!,
1134,ESSpecial☆Ring,ESSpecial☆Ring,ESS,ESS,E1,9：00~19：00,9：00~19：00,遊ぶ,今年のESSは輪投げをします!見事クリアした方には、なかなかGETできない素敵なプレゼントがありますよ!ぜひお越しを!,
1057,πZONE福岡伊都店新台入替,ぱいぞーんふくおかいとてんしんだいいれかえ,コールアカデミー H31期,こーるあかでみー H31き,E2,9：00~19：00,9：00~19：00,遊ぶ,超・エキサイティング!新感覚3Dアクションゲーム、ここに爆誕!コールメンのシラけた面をパイで真っ白に染め上げろ!,
1135,てこん堂,てこんどう,テコンドー部,てこんどーぶ,E3,9：00~19：00,9：00~19：00,その他,韓国人と作るおいしいキムチチゲを味わったり、テコンドーの体験を楽しんだりできます。お気軽にお立ち寄りください!,
